o	30000
a	15000
e	10000
que	7500
é	6000
para	5000
não	4285
with	3750
ela	3333
este	3000
mas	2727
seu	2500
um	2307
dois	2142
três	2000
quatro	1875
cinco	1764
pessoa	1666
vida	1578
tempo	1500
coisa	1428
dia	1363
mão	1304
olho	1250
palavra	1200
lugar	1153
cabeça	1111
amigo	1071
muito	1034
trabalho	1000
cidade	967
terra	937
país	909
nuevo	882
grande	857
bem	833
dizer	810
ver	789
ir	769
saber	750
querer	731
hacer	714
tomar	697
comer	681
colaboração	666
inovação	652
desenvolvimento	638
sociedade	625
oportunidade	612
responsabilidade	600
futuro	588
gobierno	576
comunidade	566
educação	555
cultura	545
língua	535
direito	526
lei	517
poder	508
mundo	500
amor	491
verdade	483
força	476
liberdade	468
nação	461
história	454
esperança	447
alegría	441
pensamiento	434
libro	428
skola	422
trabajo	416
ajuda	410
pergunta	405
decisão	400
caminho	394
meta	389
sucesso	384
fé	379
sol	375
água	370
fogo	365
noite	361
paz	357
