це	30000
що	15000
як	10000
для	7500
було	6000
вони	5000
його	4285
яка	3750
таке	3333
собі	3000
дуже	2727
має	2500
немає	2307
ніж	2142
після	2000
через	1875
хоча	1764
якщо	1666
тому	1578
проте	1500
один	1428
два	1363
три	1304
чотири	1250
п'ять	1200
людина	1153
життя	1111
час	1071
справа	1034
день	1000
рука	967
око	937
слово	909
місце	882
голова	857
друг	833
багато	810
робота	789
місто	769
земля	750
країна	731
новий	714
великий	697
добре	681
можна	666
тільки	652
навіть	638
зараз	625
бути	612
сказати	600
бачити	588
йти	576
знати	566
хотіти	555
робити	545
брати	535
їсти	526
співпраця	517
інновації	508
розвиток	500
суспільство	491
можливість	483
відповідальність	476
майбутнє	468
держава	461
громада	454
освіта	447
культура	441
мова	434
право	428
закон	422
влада	416
світ	410
любов	405
правда	400
сила	394
воля	389
народ	384
історія	379
надія	375
радість	370
думка	365
книга	361
школа	357
допомога	352
питання	348
рішення	344
шлях	340
мета	337
успіх	333
віра	329
сонце	326
вода	322
вогонь	319
ніч	315
мир	312
