yr	30000
yn	15000
ac	10000
ar	7500
am	6000
bod	5000
fy	4285
dy	3750
ei	3333
ein	3000
eich	2727
eu	2500
os	2307
ond	2142
pan	2000
un	1875
dau	1764
tri	1666
pedwar	1578
pump	1500
dyn	1428
bywyd	1363
amser	1304
peth	1250
diwrnod	1200
llaw	1153
llygad	1111
gair	1071
lle	1034
pen	1000
ffrind	967
llawer	937
gwaith	909
dinas	882
daear	857
gwlad	833
newydd	810
mawr	789
da	769
gallu	750
nawr	731
bod	714
dweud	697
gweld	681
mynd	666
gwybod	652
eisiau	638
gwneud	625
cymryd	612
bwyta	600
cydweithrediad	588
arloesi	576
datblygiad	566
cymdeithas	555
cyfle	545
cyfrifoldeb	535
dyfodol	526
llywodraeth	517
cymuned	508
addysg	500
diwylliant	491
iaith	483
hawl	476
cyfraith	468
pwer	461
byd	454
cariad	447
gwirionedd	441
nerth	434
rhyddid	428
cenedl	422
hanes	416
gobaith	410
llawenydd	405
meddwl	400
llyfr	394
skola	389
cymorth	384
cwestiwn	379
penderfyniad	375
ffordd	370
nod	365
llwyddiant	361
ffydd	357
haul	352
dwr	348
tan	344
nos	340
heddwch	337
