ki	30000
yox	15000
və	10000
bu	7500
üçün	6000
üzərində	5000
bir	4285
ilə	3750
necə	3333
o	3000
bu	2727
yox	2500
bəli	2307
amma	2142
və ya	2000
həmçinin	1875
indi	1764
çox	1666
yaxşı	1578
bir	1500
iki	1428
üç	1363
dörd	1304
beş	1250
insan	1200
həyat	1153
vaxt	1111
iş	1071
gün	1034
əl	1000
göz	967
söz	937
yer	909
baş	882
dost	857
yeni	833
böyük	810
yaxşı	789
pis	769
gəlmək	750
getmək	731
etmək	714
demək	697
bilmək	681
istəmək	666
vermək	652
almaq	638
əməkdaşlıq	625
innovasiya	612
inkişaf	600
cəmiyyət	588
imkan	576
məsuliyyət	566
gələcək	555
hökumət	545
icma	535
təhsil	526
mədəniyyət	517
dil	508
ədalət	500
qanun	491
güc	483
dünya	476
sevgi	468
həqiqət	461
qüvvə	454
azadlıq	447
millət	441
tarix	434
ümid	428
sevinc	422
fikir	416
kitab	410
skola	405
əmək	400
kömək	394
sual	389
qərar	384
yol	379
məqsəd	375
uğur	370
iman	365
günəş	361
su	357
od	352
gecə	348
sülh	344
