რომ	30000
არ	15000
და	10000
არის	7500
მისთვის	6000
ერთი	5000
ერთად	4285
როგორც	3750
ის	3333
ეს	3000
არა	2727
დიახ	2500
მაგრამ	2307
ასევე	2142
ახლა	2000
ძალიან	1875
კარგი	1764
ერთი	1666
ორი	1578
სამи	1500
ოთხი	1428
ხუთи	1363
ადამიანი	1304
ცხოვრება	1250
დრო	1200
ნივთი	1153
დღე	1111
ხელი	1071
თვალი	1034
სიტყვა	1000
ადგილი	967
თავი	937
მეგობარი	909
ბევრი	882
მუშაობა	857
ქალაქი	833
მიწა	810
ქვეყანა	789
ახალი	769
დიდი	750
ყოფნა	731
თქმა	714
ნახვა	697
წასვლა	681
ცოდნა	666
ნდომა	652
კეთება	638
აღება	625
ჭამა	612
თანამშრომლობა	600
ინოვაცია	588
განვითარება	576
საზოგადოება	566
შესაძლებლობა	555
პასუხისმგებლობა	545
მომავალი	535
მთავრობა	526
თემი	517
განათლება	508
კულტურა	500
ენა	491
სამართალი	483
კანონი	476
ძალაუფლება	468
სამყარო	461
სიყვარული	454
ჭეшმარიტება	447
ძალა	441
თავისუფლება	434
ერი	428
ისტორია	422
იმედი	416
სიხარული	410
აზრი	405
წიგნი	400
skola	394
შრომა	389
დახმარება	384
კითხვა	379
გადაწყვეტილება	375
გზა	370
მიზანი	365
წარმატება	361
რწმენა	357
მზე	352
წყალი	348
ცეცხლი	344
ღამე	340
მшвиდობა	337
