det	30000
ikke	15000
jeg	10000
han	7500
hun	6000
vi	5000
de	4285
with	3750
for	3333
har	3000
var	2727
et	2500
den	2307
på	2142
fra	2000
her	1875
nå	1764
alt	1666
skal	1578
kan	1500
vil	1428
være	1363
mange	1304
over	1250
inn	1200
ut	1153
en	1111
to	1071
tre	1034
fire	1000
fem	967
menneske	937
liv	909
tid	882
ting	857
dag	833
hånd	810
øye	789
ord	769
sted	750
hode	731
venn	714
arbeid	697
by	681
jord	666
land	652
ny	638
stor	625
bra	612
si	600
se	588
gå	576
vite	566
ville	555
gjøre	545
ta	535
spise	526
samarbeid	517
innovasjon	508
utvikling	500
samfunn	491
mulighet	483
ansvar	476
fremtid	468
regjering	461
fellesskap	454
utdanning	447
kultur	441
språk	434
rett	428
lov	422
makt	416
verden	410
kjærlighet	405
sannhet	400
styrke	394
frihed	389
folk	384
historie	379
håp	375
glede	370
tanke	365
bog	361
skola	357
hjelp	352
spørgsmål	348
beslutning	344
vei	340
mål	337
suksess	333
tro	329
sol	326
vann	322
ild	319
natt	315
fred	312
