się	30000
nie	15000
jak	10000
dla	7500
przy	6000
pod	5000
nad	4285
przez	3750
między	3333
mimo	3000
obok	2727
wzdłuż	2500
oprócz	2307
zamiast	2142
bardzo	2000
tylko	1875
jeszcze	1764
może	1666
teraz	1578
kiedy	1500
tutaj	1428
tam	1363
wszystko	1304
współpraca	1250
innowacja	1200
rozwój	1153
społeczeństwo	1111
możliwość	1071
odpowiedzialność	1034
przyszłość	1000
rząd	967
społeczność	937
edukacja	909
kultura	882
język	857
prawo	833
ustawa	810
władza	789
świat	769
miłość	750
prawda	731
siła	714
wolność	697
naród	681
historia	666
nadzieja	652
radość	638
myśl	625
książka	612
szkoła	600
praca	588
pomoc	576
pytanie	566
decyzja	555
droga	545
cel	535
sukces	526
wiara	517
słońce	508
woda	500
ogień	491
noc	483
pokój	476
wojna	468
dobry	461
