това	30000
че	15000
как	10000
за	7500
беше	6000
те	5000
него	4285
каква	3750
такова	3333
себе	3000
много	2727
има	2500
няма	2307
след	2142
през	2000
ако	1875
защото	1764
обаче	1666
един	1578
два	1500
три	1428
четири	1363
пет	1304
човек	1250
живот	1200
време	1153
работа	1111
ден	1071
ръка	1034
око	1000
дума	967
място	937
глава	909
приятел	882
град	857
земя	833
страна	810
нов	789
голям	769
добре	750
може	731
само	714
дори	697
сега	681
бъде	666
каже	652
види	638
отиде	625
знае	612
иска	600
прави	588
вземе	576
яде	566
сътрудничество	555
иновации	545
развитие	535
общество	526
възможност	517
отговорност	508
бъдеще	500
правителство	491
общност	483
образование	476
култура	468
език	461
право	454
закон	447
власт	441
свят	434
любов	428
истина	422
сила	416
свобода	410
народ	405
история	400
надежда	394
радост	389
мисъл	384
книга	379
училище	375
труд	370
помощ	365
въпрос	361
решение	357
път	352
цел	348
успех	344
вяра	340
слънце	337
вода	333
огън	329
нощ	326
мир	322
