the	30000
and	15000
that	10000
have	7500
for	6000
not	5000
with	4285
you	3750
this	3333
but	3000
his	2727
from	2500
they	2307
say	2142
her	2000
she	1875
will	1764
one	1666
all	1578
would	1500
there	1428
their	1363
what	1304
about	1250
who	1200
get	1153
which	1111
go	1071
me	1034
when	1000
make	967
can	937
like	909
time	882
no	857
just	833
him	810
know	789
take	769
people	750
into	731
year	714
your	697
good	681
some	666
could	652
them	638
see	625
other	612
than	600
then	588
now	576
look	566
only	555
come	545
its	535
over	526
think	517
also	508
back	500
after	491
use	483
two	476
how	468
our	461
work	454
first	447
well	441
way	434
even	428
new	422
want	416
because	410
any	405
these	400
give	394
day	389
most	384
us	379
collaboration	375
innovation	370
development	365
society	361
opportunity	357
responsibility	352
future	348
government	344
community	340
education	337
culture	333
language	329
justice	326
law	322
power	319
world	315
love	312
truth	309
strength	306
freedom	303
nation	300
history	297
hope	294
joy	291
thought	288
book	285
skola	283
labor	280
help	277
question	275
decision	272
path	270
goal	267
success	265
faith	263
sun	260
water	258
fire	256
night	254
peace	252
