že	30000
nie	15000
pre	10000
ako	7500
bol	6000
oni	5000
jeho	4285
ako	3750
sebe	3333
veľmi	3000
má	2727
nie	2500
než	2307
potom	2142
cez	2000
hoci	1875
ak	1764
pretože	1666
však	1578
jeden	1500
dva	1428
tri	1363
štyri	1304
päť	1250
človeк	1200
život	1153
čas	1111
vec	1071
deň	1034
ruka	1000
oko	967
slovo	937
miesto	909
hlava	882
priateľ	857
veľa	833
práca	810
mesto	789
zem	769
krajina	750
nový	731
veľký	714
dobre	697
možno	681
len	666
dokonca	652
teraz	638
byť	625
povedať	612
vidieť	600
ísť	588
vedieť	576
chcieť	566
robiť	555
brať	545
jesť	535
spolupráca	526
inovácia	517
rozvoj	508
spoločnosť	500
možnosť	491
zodpovednosť	483
budúcnosť	476
vláda	468
komunita	461
vzdelávanie	454
kultúra	447
jazyk	441
právo	434
zákon	428
moc	422
svet	416
láska	410
pravda	405
sila	400
sloboda	394
národ	389
história	384
nádej	379
radosť	375
myšlienka	370
kniha	365
skola	361
práce	357
pomoc	352
otázka	348
rozhodnutie	344
cesta	340
cieľ	337
úspech	333
viera	329
slnce	326
voda	322
oheň	319
noc	315
mier	312
