bir	30000
bu	15000
ne	10000
ve	7500
için	6000
da	5000
de	4285
o	3750
daha	3333
ama	3000
çok	2727
her	2500
gibi	2307
kadar	2142
şimdi	2000
sonra	1875
yok	1764
var	1666
hiç	1578
bile	1500
nasıl	1428
niye	1363
böyle	1304
sadece	1250
başka	1200
kendi	1153
zaman	1111
gün	1071
yer	1034
yol	1000
iş	967
insan	937
çocuk	909
kadın	882
adam	857
dünya	833
hayat	810
iyi	789
kötü	769
büyük	750
küçük	731
yeni	714
eski	697
gelmek	681
gitmek	666
yapmak	652
demek	638
bilmek	625
istemek	612
vermek	600
almak	588
işbirliği	576
inovasyon	566
gelişme	555
toplum	545
fırsat	535
sorumluluk	526
gelecek	517
hükümet	508
topluluk	500
eğitim	491
kültür	483
dil	476
adalet	468
kanun	461
güç	454
dünya	447
sevgi	441
gerçek	434
kuvvet	428
özgürlük	422
millet	416
tarih	410
umut	405
sevinç	400
düşünce	394
kitap	389
skola	384
emek	379
yardım	375
soru	370
karar	365
yol	361
amaç	357
başarı	352
inan	348
güneş	344
su	340
ateş	337
gece	333
barış	329
