see	30000
ole	15000
mis	10000
ma	7500
ta	6000
nad	5000
kui	4285
ka	3750
või	3333
nii	3000
siis	2727
oma	2500
aga	2307
sest	2142
välja	2000
läbi	1875
peale	1764
poole	1666
üks	1578
kaks	1500
kolm	1428
neli	1363
viis	1304
inimene	1250
elu	1200
aeg	1153
asi	1111
päev	1071
käsi	1034
silm	1000
sõna	967
koht	937
pea	909
sõber	882
palju	857
töö	833
linn	810
maa	789
riik	769
uus	750
suur	731
hästi	714
võib	697
ainult	681
isegi	666
praegu	652
olema	638
ütlema	625
nägema	612
minema	600
teadma	588
tahtma	576
tegema	566
võtma	555
sööma	545
koostöö	535
innovatsioon	526
arendus	517
ühiskond	508
võimalus	500
vastutus	491
tulevik	483
valitsus	476
kogukond	468
haridus	461
kultuur	454
keel	447
õigus	441
seadus	434
võim	428
maailm	422
armastus	416
tõde	410
jõud	405
vabadus	400
rahvas	394
ajalugu	389
lootus	384
rõõm	379
mõte	375
raamat	370
skola	365
töö	361
abi	357
küsimus	352
otsus	348
tee	344
eesmärk	340
edu	337
usk	333
päike	329
vesi	326
tuli	322
öö	319
rahu	315
